Keyword,Name,Type,Plus Code,Rating,Address,Website,Phone,Reviews Count,Latitude,Longitude,Map URL
Cykelbutik i Danmark,Cykler.dk,Bicycle store,,4.7,,http://www.cykler.dk/,,15,,,https://www.google.com/maps/place/Cykler.dk/data=!4m7!3m6!1s0x464a23da39850b7f:0xd184078b96d89915!8m2!3d56.5476293!4d8.2975909!16s%2Fg%2F1vd74hwd!19sChIJfwuFOdojSkYRFZnYlosHhNE?authuser=0&hl=en&rclk=1
Cykelbutik i Danmark,Cykelexperten.dk,Bicycle store,,4.1,,https://cykelexperten.dk/,,587,,,https://www.google.com/maps/place/Cykelexperten.dk/data=!4m7!3m6!1s0x4652572d37567875:0xd594a5c4b4232179!8m2!3d55.6979846!4d12.4747538!16s%2Fg%2F1td4yg95!19sChIJdXhWNy1XUkYReSEjtMSllNU?authuser=0&hl=en&rclk=1
Cykelbutik i Danmark,,,,,,,,,,,https://www.google.com/maps/place/Cykel+Mesteren/data=!4m7!3m6!1s0x46525318d940f123:0x676b455ca9862065!8m2!3d55.6848352!4d12.5863174!16s%2Fg%2F1wk6ycm2!19sChIJI_FA2RhTUkYRZSCGqVxFa2c?authuser=0&hl=en&rclk=1
Cykelbutik i Danmark,,,,,,http://www.copenhagenbikeshop.dk/,,,,,https://www.google.com/maps/place/Copenhagen+Bikeshop/data=!4m7!3m6!1s0x4652525338cfe681:0x9419b285fc731be0!8m2!3d55.6959924!4d12.5509775!16s%2Fg%2F11b5pjdb_b!19sChIJgebPOFNSUkYR4Btz_IWyGZQ?authuser=0&hl=en&rclk=1
Cykelbutik i Danmark,Rencykel.dk,Bicycle repair shop,"JH9C+3V Amager Vest, Copenhagen, Denmark",4.5,"Robert Jacobsens Vej 70, 2300 Amager Vest, Denmark",https://www.rencykel.dk/book-tid-orestad-8-tallet,+45 71 74 95 59,158,,,https://www.google.com/maps/place/Rencykel.dk/data=!4m7!3m6!1s0x465254bb19b5ab3f:0xe1caeddb54aa6cda!8m2!3d55.6177404!4d12.572178!16s%2Fg%2F11c5srt84z!19sChIJP6u1GbtUUkYR2myqVNvtyuE?authuser=0&hl=en&rclk=1
Cykelbutik i Danmark,,,,,,https://boerkopcykler.dk/,,,,,https://www.google.com/maps/place/B%C3%B8rkop+Bicycles+%2F+BCbikeshop.dk/data=!4m7!3m6!1s0x464c9b2a8ef1d601:0x680af700f5db570a!8m2!3d55.6433219!4d9.6469608!16s%2Fg%2F1q5bmh2xc!19sChIJAdbxjiqbTEYRClfb9QD3Cmg?authuser=0&hl=en&rclk=1
Cykelbutik i Danmark,,,,,,https://www.fribikeshop.dk/butikker/koebenhavn/oesterbrogade,,,,,https://www.google.com/maps/place/Fri+BikeShop/data=!4m7!3m6!1s0x465253072cc88607:0xc3c384b9d165f05d!8m2!3d55.7072696!4d12.5777339!16s%2Fg%2F11lgnw8s_n!19sChIJB4bILAdTUkYRXfBl0bmEw8M?authuser=0&hl=en&rclk=1
Cykelbutik i Danmark,,,,,,http://www.cykel-butikken.dk/,,,,,https://www.google.com/maps/place/Cykelbutikken/data=!4m7!3m6!1s0x465253bb13d8503f:0x7dcc72e9b726633!8m2!3d55.6818506!4d12.5354903!16s%2Fg%2F11cn6cdgf_!19sChIJP1DYE7tTUkYRM2Zymy7H3Ac?authuser=0&hl=en&rclk=1
Cykelbutik i Danmark,Allbike.dk ApS,Bicycle store,,4.8,,http://allbike.dk/,,74,,,https://www.google.com/maps/place/Allbike.dk+ApS/data=!4m7!3m6!1s0x464c030be3225d35:0xfffb21be667484e4!8m2!3d56.4295637!4d10.0535693!16s%2Fg%2F1hc631239!19sChIJNV0i4wsDTEYR5IR0Zr4h-_8?authuser=0&hl=en&rclk=1
Cykelbutik i Danmark,,,"4X4H+XF Herning, Denmark",,,http://www.bike-pit.dk/,,,,,https://www.google.com/maps/place/Bike-pit.dk/data=!4m7!3m6!1s0x464bbdd763213477:0x8566de1894038185!8m2!3d56.1074301!4d8.978737!16s%2Fg%2F1tvdhd1m!19sChIJdzQhY9e9S0YRhYEDlBjeZoU?authuser=0&hl=en&rclk=1
